Ubicación,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
BARBERSHOP,8,2013.625,2012,2016,2.5535714285713347,1.597989808656906,2013,-0.795813976233557,8,7.75,1,12,17.071428571428573,4.131758532565592,Octubre,-0.5931268710281685,8,19.0,8,31,76.85714285714286,8.76682056718072,No hay moda,-1.5937936181092027,8,17.875,14,20,4.982142857142857,2.2320714274285347,20,-0.7316452769106254,8,
BOAT/WATERCRAFT,1,2015.0,2015,2015,,,No hay moda,,1,7.0,7,7,,,,,1,5.0,5,5,,,No hay moda,,1,2.0,2,2,,,No hay moda,,1,
BOWLING ALLEY,1,2013.0,2013,2013,,,No hay moda,,1,9.0,9,9,,,,,1,28.0,28,28,,,No hay moda,,1,22.0,22,22,,,No hay moda,,1,
CAR WASH,4,2013.5,2012,2016,3.6666666666666665,1.9148542155126762,2012,-1.2892561983471076,4,10.25,7,12,4.916666666666667,2.217355782608345,Noviembre,3.264579143924159,4,15.0,6,23,76.66666666666667,8.755950357709132,No hay moda,-5.359735349716447,4,13.25,7,23,54.916666666666664,7.41057802513857,No hay moda,-0.9752119019713046,4,
CHA APARTMENT,22,2013.2272727272727,2012,2016,1.9935064935065785,1.4119158946292014,2012,-0.15171837646197428,22,6.0,1,10,7.999999999999997,2.82842712474619,Mayo,-0.7114191729323305,22,14.409090909090908,1,29,81.68181818181819,9.037799410355277,17,-1.234812307454039,22,14.090909090909092,2,22,33.22943722943723,5.764498003246877,16,-0.16845074271038918,22,
CHA HALLWAY/STAIRWELL/ELEVATOR,7,2013.857142857143,2012,2016,2.4761904761905384,1.5735915849389062,2012,-1.6837278106508826,7,6.714285714285714,1,12,18.57142857142857,4.309458036856673,Marzo,-2.0670295857988186,7,6.571428571428571,1,13,20.28571428571429,4.503966505838414,No hay moda,-1.1514382067050182,7,13.285714285714286,6,18,21.23809523809524,4.6084807950229365,No hay moda,-0.9042047899615921,7,
CHA PARKING LOT/GROUNDS,17,2013.7058823529412,2012,2016,1.9705882352941886,1.4037764192684634,2012,-1.1550456671864753,17,6.0,1,12,15.375,3.9210967853395307,Enero,-1.2739355825614003,17,16.647058823529413,1,29,87.99264705882351,9.380439598378294,1,-0.9074038446181101,17,13.764705882352942,1,23,68.56617647058823,8.280469580318995,1,-1.3513334849979914,17,
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,13,2013.1538461538462,2012,2016,1.8076923076922906,1.3445044840729579,2012,0.19581052718202274,13,6.153846153846154,1,12,18.807692307692307,4.336783636255365,Febrero,-1.7867185536725234,13,14.307692307692308,2,30,89.56410256410255,9.463831283581854,No hay moda,-0.8294507762108294,13,15.692307692307692,10,22,15.730769230769232,3.9662033773836196,13,-1.041386974883308,13,
CLEANING STORE,2,2013.0,2012,2014,2.0,1.4142135623730951,No hay moda,,2,3.0,1,5,8.0,2.8284271247461903,,,2,5.0,5,5,0.0,0.0,5,,2,8.0,7,9,2.0,1.4142135623730951,No hay moda,,2,
COIN OPERATED MACHINE,1,2014.0,2014,2014,,,No hay moda,,1,11.0,11,11,,,,,1,10.0,10,10,,,No hay moda,,1,22.0,22,22,,,No hay moda,,1,
COLLEGE/UNIVERSITY GROUNDS,5,2013.8,2012,2016,2.69999999999996,1.6431676725154862,2013,-1.6872427983537364,5,8.0,4,11,8.5,2.9154759474226504,,-1.5986159169550174,5,10.6,3,30,121.3,11.013627921806693,No hay moda,4.418721612321589,5,11.0,0,21,63.5,7.968688725254614,9,-0.15760431520863083,5,
COMMERCIAL / BUSINESS OFFICE,32,2014.03125,2012,2016,2.095766129032234,1.4476761133044345,2015,-1.3213493393022675,32,6.6875,1,12,13.834677419354835,3.7194996194857763,Julio,-1.3564111863508166,32,14.6875,1,31,59.96370967741935,7.743623807844706,14,-0.7863939875766524,32,10.96875,0,23,33.5796370967742,5.794793964997737,14,0.007401060493207545,32,
CONSTRUCTION SITE,9,2013.888888888889,2012,2016,2.3611111111111107,1.5365907428821477,2012,-1.562432031636153,9,7.444444444444445,2,10,8.277777777777779,2.8771127502720115,Octubre,-0.2958167907494511,9,11.777777777777779,4,29,69.44444444444446,8.333333333333334,No hay moda,1.0016063999999991,9,10.666666666666666,0,19,61.75,7.858116822750856,16,-1.88877987556871,9,
CONVENIENCE STORE,39,2014.2820512820513,2012,2016,2.3130904183533234,1.520884748543861,2016,-1.2490970156594456,39,6.589743589743589,1,12,9.879892037786774,3.1432295553756133,Mayo,-0.8303518083940284,39,19.358974358974358,1,31,57.973009446693666,7.614000883024224,19,-0.219627055553679,39,13.051282051282051,2,22,30.83940620782727,5.553323888251726,14,-0.5575851418343891,39,
CTA BUS,29,2013.5862068965516,2012,2016,1.4655172413792634,1.2105854952787363,2013,-0.3213523116635071,29,5.827586206896552,1,12,9.004926108374383,3.0008209057480224,Mayo,-0.700602146490084,29,15.96551724137931,1,29,84.67733990147784,9.202029118704083,27,-1.327012139469519,29,13.448275862068966,1,22,25.1847290640394,5.01843890707453,8,0.10646195089004484,29,
CTA BUS STOP,19,2012.8947368421052,2012,2014,0.5438596491228155,0.7374684055082058,2013,-0.9978576237986698,19,8.052631578947368,2,12,9.830409356725147,3.1353483628976777,Noviembre,-0.7057238844374183,19,10.473684210526315,1,30,70.26315789473684,8.382312204561272,1,1.1091899886102916,19,14.263157894736842,0,19,25.204678362573098,5.020426113645444,12,2.68421206629518,19,
