Ubicación,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
"SCHOOL, PUBLIC, GROUNDS",29,2013.6896551724137,2012,2016,2.2931034482758834,1.5142996560376956,2012,-1.3980533696740847,29,7.551724137931035,1,12,12.184729064039407,3.490663126690888,Diciembre,-1.2270445883900716,29,13.310344827586206,1,25,49.79310344827586,7.05642285072797,5,-1.1914975625275575,29,12.655172413793103,0,22,27.233990147783253,5.218619563427023,15,0.7499622613222461,29,
SIDEWALK,821,2013.6699147381241,2012,2016,1.9433498707703407,1.3940408425761208,2012,-1.1738874416843466,821,6.7113276492082825,1,12,10.849493479100435,3.293856930575527,Agosto,-1.0627584829639305,821,15.758830694275273,1,31,78.29054692373968,8.848194557294708,10,-1.203065075822995,821,14.326431181485992,0,23,43.18355663824607,6.571419682096561,19,-0.490446402648689,821,
SMALL RETAIL STORE,134,2014.1268656716418,2012,2016,1.9762652900908086,1.4057970301899234,2015,-1.2813010144137447,134,6.574626865671642,1,12,11.855291213107401,3.443151349143311,Marzo,-1.2797585562644538,134,16.350746268656717,2,31,72.21439793513633,8.497905502836351,26,-1.257315363594426,134,13.76865671641791,0,23,29.863371114353043,5.46473888803052,10,0.3873887564538556,134,
SPORTS ARENA/STADIUM,3,2014.6666666666667,2014,2016,1.3333333333332575,1.1547005383792186,2014,,3,8.0,7,9,1.0,1.0,,,3,20.666666666666668,6,31,170.33333333333334,13.051181300301263,No hay moda,,3,10.0,1,22,117.0,10.816653826391969,No hay moda,,3,
STREET,1594,2013.8531994981179,2012,2016,2.0349332596105465,1.426510869082513,2012,-1.3016622286414796,1594,6.612296110414053,1,12,11.034776519922081,3.321863410786494,Junio,-1.1030046661831294,1594,15.8732747804266,1,31,76.96447049946399,8.772939672621941,20,-1.1907950088140578,1594,13.923462986198244,0,23,49.527095093732726,7.037548940769984,20,-0.8897093230113047,1594,
TAVERN/LIQUOR STORE,16,2014.3125,2012,2016,1.829166666666702,1.3524668819112362,2013,-1.4222826586813908,16,5.75,1,11,13.933333333333334,3.7327380477785117,Enero,-1.4257387035024913,16,14.1875,1,28,78.69583333333334,8.87106720374349,14,-1.110907783893079,16,12.6875,1,22,60.22916666666667,7.760745239129208,1,-1.3193318458390313,16,
TAXICAB,9,2013.7777777777778,2012,2015,1.4444444444444637,1.201850425154671,2014,-1.0993237531697462,9,8.0,3,12,10.0,3.1622776601683795,Mayo,-1.3357142857142854,9,13.333333333333334,2,26,99.75,9.987492177719089,2,-2.078640927417003,9,7.555555555555555,0,19,71.02777777777777,8.427797919847022,1,-1.9126822137591533,9,
VACANT LOT/LAND,24,2013.3333333333333,2012,2016,1.7101449275362106,1.3077250963165807,2012,-0.5304286348524521,24,5.5,1,11,9.652173913043478,3.106794797382582,Marzo,-1.2740806794860848,24,14.0,1,31,88.34782608695652,9.399352429128111,2,-0.9482699046566925,24,12.291666666666666,0,22,43.2590579710145,6.57716184771323,9,-0.7829492104716174,24,
VEHICLE - OTHER RIDE SERVICE,2,2016.0,2016,2016,0.0,0.0,2016,,2,4.5,2,7,12.5,3.5355339059327378,,,2,20.5,17,24,24.5,4.949747468305833,No hay moda,,2,9.5,3,16,84.5,9.192388155425117,No hay moda,,2,
VEHICLE NON-COMMERCIAL,127,2013.7795275590552,2012,2016,2.093863267091659,1.4470187514651145,2012,-1.3368361816899383,127,6.5984251968503935,1,12,12.750156230471193,3.5707360908461427,Noviembre,-1.2274060975456953,127,16.976377952755904,1,31,86.24546931633547,9.286843883491068,24,-1.30238853753602,127,13.133858267716535,0,23,55.57717785276839,7.455010251687679,0,-1.125910431165811,127,
VEHICLE-COMMERCIAL,4,2014.0,2013,2015,0.6666666666666666,0.816496580927726,2014,1.5,4,6.0,2,12,20.666666666666668,4.546060565661952,,-0.7476586888657657,4,12.0,4,29,139.33333333333334,11.803954139750516,4,2.247235640209702,4,13.25,9,21,28.25,5.315072906367325,No hay moda,3.047693633017463,4,
WAREHOUSE,10,2014.2,2012,2016,2.6222222222221787,1.6193277068654692,2016,-1.694863955349411,10,5.5,1,10,9.61111111111111,3.100179206289712,Mayo,-1.4032925542832322,10,19.2,7,28,47.51111111111111,6.892830413633511,No hay moda,-0.6658183557191752,10,16.7,8,23,23.566666666666663,4.8545511292669135,18,-0.3619864627688991,10,
