Dia_semana,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
Domingo,985,2013.8720812182742,2012,2016,1.9815876356733342,1.4076887566764658,2012,-1.2776087877753255,985,6.418274111675127,1,12,10.778121002022207,3.283004873895591,Junio,-1.0757203353158855,985,15.538071065989847,1,31,82.2366080640502,9.068440222224007,24,-1.2393561085092155,985,11.923857868020304,0,23,53.60700136189181,7.32168022805502,0,-1.25017017409462,985,
Jueves,1003,2013.8604187437686,2012,2016,1.9964656927420386,1.41296344352642,2013,-1.284387837793018,1003,6.320039880358923,1,12,11.53120478882712,3.395762769809917,Marzo,-1.1682694002406269,1003,16.378863409770688,1,31,73.10981227972768,8.550427608004624,22,-1.0879791818597186,1003,13.122632103688932,0,23,42.11368887349928,6.489506057744247,20,-0.7751411631432745,1003,
Lunes,952,2013.8792016806722,2012,2016,2.095802516590209,1.4476886808254767,2012,-1.3517969007495434,952,6.58718487394958,1,12,10.677984916364029,3.267718610340252,Junio,-1.065223587416598,952,15.315126050420169,1,31,75.09091712394738,8.66550155062864,7,-1.17739108058583,952,13.544117647058824,0,23,42.115822354178285,6.4896704349433865,20,-0.6851362686596043,952,
Martes,1013,2013.8963474827247,2012,2016,2.000115104433015,1.4142542573501469,2013,-1.2906700915558849,1013,6.571569595261599,1,12,11.164092099153704,3.341271030484313,Julio,-1.1009040727257378,1013,15.395853899308984,1,31,81.63859939365327,9.03540809225866,5,-1.2641556655787154,1013,13.69101678183613,0,23,40.61095677145726,6.372672655288145,12,-0.6084559665887443,1013,
Miércoles,967,2013.8624612202689,2012,2016,1.9489724040328702,1.396056017512503,2013,-1.2553574540796903,967,6.725956566701138,1,12,11.424822453598134,3.3800624925581086,Julio,-1.1294549281611137,967,15.328852119958635,1,31,74.12569878452696,8.609628260530588,16,-1.1528379957155421,967,13.485005170630817,0,23,35.951897075542604,5.995990083009027,19,-0.4628635626754747,967,
Sábado,1037,2013.781099324976,2012,2016,1.9916115316308467,1.4112446746155844,2012,-1.285827322275416,1037,6.734811957569913,1,12,11.36107460263681,3.37061932033815,Agosto,-1.146728166155116,1037,15.85920925747348,1,31,77.27166462508801,8.790430286686085,5,-1.1839547429540367,1037,12.770491803278688,0,23,50.399012595734014,7.099226196969217,19,-1.0868652999739643,1037,
Viernes,1043,2013.7852348993288,2012,2016,1.9595898440014934,1.3998535080505723,2012,-1.2523306603692312,1043,6.4419942473633744,1,12,11.135547650638657,3.336996801113039,Agosto,-1.1396027078797846,1043,15.428571428571429,1,31,78.17027693995064,8.841395644351103,3,-1.1748400769415033,1043,13.587727708533079,0,23,42.605300301985785,6.5272735733984515,16,-0.6842270449794619,1043,
