Violencia Doméstica,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
No,5895,2013.845122985581,2012,2016,1.9995923457474745,1.4140694274849006,2012,-1.29072346218034,5895,6.559796437659033,1,12,11.044565957876646,3.3233365700567625,Mayo,-1.1124565121083634,5895,15.637998303647159,1,31,77.49024234475449,8.802854215807194,20,-1.188805962517273,5895,13.34147582697201,0,23,42.42952310151106,6.513794831088178,19,-0.7213684572943038,5895,
Sí,1105,2013.8579185520362,2012,2016,1.9770771853894045,1.4060857674371803,2013,-1.2628144410852298,1105,6.448868778280543,1,12,11.832754606859476,3.4398771208953782,Marzo,-1.17732811925822,1105,15.460633484162896,1,31,77.41353039543567,8.798495916657329,20,-1.1885445077320775,1105,12.196380090497737,0,23,53.005783985835066,7.28050712422116,0,-1.206605615864209,1105,
