Tipo Principal,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
INTERFERENCE WITH PUBLIC OFFICER,28,2013.642857142857,2012,2016,2.015873015873021,1.41981443008339,2012,-1.1279348712543187,28,6.5,1,12,9.74074074074074,3.1210159789306977,Mayo,-0.75784016183328,28,15.428571428571429,1,31,96.92063492063491,9.844827825850228,27,-1.4880132732288336,28,16.285714285714285,1,23,33.100529100529094,5.753305927945175,21,1.2472075672984442,28,
INTIMIDATION,5,2013.6,2012,2016,3.300000000000125,1.8165902124585294,2012,-2.231404958677346,5,4.2,2,6,3.2,1.7888543819998317,Junio,-2.3242187500000018,5,11.2,5,25,62.2,7.886697661252142,9,4.244217905108512,5,17.2,9,23,31.700000000000003,5.630275304103699,16,-0.3028192140433301,5,
KIDNAPPING,4,2014.25,2013,2016,2.25,1.5,2013,-3.901234567901234,4,6.75,1,11,18.916666666666668,4.349329450233296,,-0.03656193599720581,4,16.5,7,30,107.0,10.344080432788601,No hay moda,-0.9270678661891871,4,10.25,0,19,66.91666666666667,8.180260794538684,No hay moda,-0.7532835304718137,4,
LIQUOR LAW VIOLATION,19,2013.8947368421052,2012,2016,2.099415204678355,1.4489358870144515,2012,-1.2733038731123214,19,5.684210526315789,1,12,9.005847953216374,3.000974500594161,Abril,-0.027462844641990003,19,15.31578947368421,3,29,67.11695906432746,8.192494068617167,5,-1.202488192076073,19,16.36842105263158,0,23,52.24561403508774,7.228112757496782,22,0.8104298587328018,19,
MOTOR VEHICLE THEFT,294,2013.7142857142858,2012,2016,2.054607508532461,1.4333902150260622,2012,-1.2533110849514535,294,6.7517006802721085,1,12,11.272608019316944,3.3574704792919543,Abril,-1.087990116706681,294,16.108843537414966,1,31,74.17923893106725,8.61273701741016,13,-1.1100092459164208,294,14.251700680272108,0,23,49.206055118293015,7.014702781892688,22,-0.9518064480937891,294,
NARCOTICS,651,2013.463901689708,2012,2016,1.5536949072433022,1.2464729869689524,2013,-0.7837573078874431,651,6.190476190476191,1,12,11.84673992673994,3.441909343190192,Enero,-1.200347321664313,651,15.302611367127497,1,31,78.94367009334752,8.885025047423756,2,-1.1966810616105732,651,15.359447004608295,0,23,33.830599078341045,5.816407746912268,19,0.3254156891972886,651,
NON-CRIMINAL,2,2015.0,2014,2016,2.0,1.4142135623730951,No hay moda,,2,10.5,9,12,4.5,2.1213203435596424,,,2,19.0,8,30,242.0,15.556349186104045,No hay moda,,2,15.5,9,22,84.5,9.192388155425117,No hay moda,,2,
OFFENSE INVOLVING CHILDREN,47,2013.8085106382978,2012,2016,2.288621646623463,1.5128191057173568,2012,-1.4607109173145474,47,6.723404255319149,1,12,10.726179463459761,3.275084649815904,Septiembre,-0.9539939228848722,47,12.936170212765957,1,31,84.27844588344125,9.18032929057783,3,-1.166782517195375,47,12.25531914893617,0,23,48.15078630897317,6.939076762003225,18,-0.7070827241907387,47,
OTHER OFFENSE,455,2014.0351648351648,2012,2016,2.0119765696856797,1.4184415989689811,2014,-1.2908523737895947,455,6.325274725274725,1,12,11.990879604976522,3.4627849492823723,Mayo,-1.2179863954047738,455,15.652747252747252,1,31,73.72055961659484,8.586067762171158,18,-1.0857478480665799,455,13.092307692307692,0,23,37.370315147407624,6.113126462572783,12,-0.46117153776458997,455,
PROSTITUTION,36,2013.611111111111,2012,2016,1.7873015873015072,1.3368999915107738,2012,-1.3911544479889095,36,6.888888888888889,1,12,11.75873015873016,3.42910048828117,Julio,-0.8642766179102988,36,16.22222222222222,1,31,56.63492063492062,7.525617624814632,14,-0.5782279796066878,36,12.027777777777779,0,23,55.456349206349216,7.4469019871587685,8,-1.5094421786185348,36,
PUBLIC INDECENCY,1,2013.0,2013,2013,,,No hay moda,,1,11.0,11,11,,,,,1,8.0,8,8,,,No hay moda,,1,16.0,16,16,,,No hay moda,,1,
PUBLIC PEACE VIOLATION,79,2013.5696202531647,2012,2016,1.6072703667640302,1.2677816715681096,2013,-1.1234111557517117,79,6.1265822784810124,1,12,9.496592015579354,3.0816541038181677,Mayo,-0.9365434412773133,79,14.430379746835444,1,31,80.22265498214871,8.956710053482178,8,-1.062031756958374,79,14.189873417721518,0,23,40.00194741966894,6.324709275505787,21,-0.49449284987830566,79,
ROBBERY,287,2013.8989547038327,2012,2016,2.210033868570493,1.4866182659211788,2012,-1.3968139980624008,287,6.7526132404181185,1,12,12.648376014229672,3.556455540876291,Enero,-1.2192399632715187,287,16.149825783972126,1,31,77.12782339611611,8.782244781154537,23,-1.1966103396031997,287,13.0,0,23,53.02797202797201,7.282030762635655,21,-1.1706254119150057,287,
SEX OFFENSE,24,2013.8333333333333,2012,2016,2.3188405797101304,1.5227739752537572,2012,-1.5419287743506345,24,6.916666666666667,1,12,13.644927536231886,3.6939041049047128,Marzo,-1.629230459716156,24,12.666666666666666,1,30,83.10144927536234,9.11599963116291,4,-0.9670683617500218,24,10.916666666666666,0,23,63.47101449275363,7.966869805184068,0,-1.4430510190015973,24,
STALKING,3,2013.6666666666667,2012,2016,4.333333333333371,2.081665999466142,No hay moda,,3,9.0,7,11,4.0,2.0,,,3,11.666666666666666,5,18,42.333333333333336,6.506407098647712,No hay moda,,3,14.333333333333334,3,22,100.33333333333333,10.016652800877813,No hay moda,,3,
THEFT,1548,2013.90826873385,2012,2016,1.9618449645809632,1.400658760933927,2013,-1.2832451053313878,1548,6.698966408268734,1,12,10.519533514061552,3.2433830353600777,Julio,-1.0534630308348192,1548,15.532945736434108,1,31,78.66407224786148,8.869276872883239,4,-1.2393287626015246,1548,13.248708010335918,0,23,38.996281458319736,6.244700269694274,19,-0.5485125504695443,1548,
WEAPONS VIOLATION,80,2014.2625,2012,2016,1.9175632911392952,1.3847610953299112,2015,-1.13579171747204,80,6.675,1,12,9.842405063291142,3.1372607579369527,Agosto,-1.0300413452979504,80,14.7375,1,31,76.95553797468355,8.772430562545567,6,-1.2155013806127053,80,14.9,0,23,49.939240506329114,7.06677016085348,20,-0.31761812685055624,80,
