Año,Año_count,Año_mean,Año_min,Año_max,Año_var,Año_std,Año_obtener_moda,Año_kurt,Mes_count,Mes_mean,Mes_min,Mes_max,Mes_var,Mes_std,Mes_obtener_moda,Mes_kurt,Día_count,Día_mean,Día_min,Día_max,Día_var,Día_std,Día_obtener_moda,Día_kurt,Hora_count,Hora_mean,Hora_min,Hora_max,Hora_var,Hora_std,Hora_obtener_moda,Hora_kurt,Dia_semana_count,Dia_semana_obtener_moda
2012,1621,2012.0,2012,2012,0.0,0.0,2012,0.0,1621,6.528069093152375,1,12,11.106156084112076,3.332589996401009,Marzo,-1.110796032314288,1621,15.276989512646514,1,31,78.82755043754415,8.878488071600037,10,-1.1941046759188727,1621,13.100555212831585,0,23,48.00161080265962,6.928319478968881,19,-0.9350131919088658,1621,
2013,1537,2013.0,2013,2013,0.0,0.0,2013,0.0,1537,6.506831489915419,1,12,11.381626477445236,3.3736666221553717,Mayo,-1.159169087894658,1537,15.446324007807418,1,31,74.68347768922129,8.641960292041459,5,-1.1577785904544287,1537,13.223812621990891,0,23,44.012375298199906,6.6341823383292615,19,-0.7918388438754072,1537,
2014,1334,2014.0,2014,2014,0.0,0.0,2014,0.0,1334,6.4767616191904045,1,12,11.106361297970649,3.3326207852035385,Mayo,-1.1368661026576923,1334,15.21889055472264,1,31,75.71649209153861,8.701522400795083,3,-1.1396156178684906,1334,13.284857571214392,0,23,42.17535943206196,6.494255879780374,12,-0.7411543202730799,1334,
2015,1307,2015.0,2015,2015,0.0,0.0,2015,0.0,1307,6.747513389441469,1,12,11.138345649705725,3.337416013880458,Octubre,-1.0910085857161065,1307,15.96327467482785,1,31,77.6188646128574,8.810156900581136,20,-1.1857303509082366,1307,12.99158377964805,0,23,44.12626908237067,6.642760652196545,12,-0.81620019493693,1307,
2016,1201,2016.0,2016,2016,0.0,0.0,2016,0.0,1201,6.4562864279766865,1,12,11.061629197890634,3.3259027643469423,Junio,-1.096779652303999,1201,16.318900915903413,1,31,80.26238412434085,8.958927621336208,24,-1.2320089670231982,1201,13.207327227310575,0,23,42.10947960033311,6.489181735807151,20,-0.7887513994470909,1201,
